AgronomyAgriculture,635901,AgronomyAgriculture
DairyAnimalScience,553411,DairyAnimalScience
Fisheries,353487,Fisheries
FoodScience,973360,FoodScience
Forestry,273933,Forestry
Horticulture,618272,Horticulture
VeterinarySciences,503975,VeterinarySciences
Ecology,134803,Ecology
Entomology,925535,Entomology
EvolutionaryBiology,860699,EvolutionaryBiology
MarineBiologyHydrobiology,848989,MarineBiologyHydrobiology
Ornithology,444882,Ornithology
PlantBiologyBotany,638149,PlantBiologyBotany
Zoology,837209,Zoology
CommunicationMediaStudies,983018,CommunicationMediaStudies
LanguagesLinguistics,481114,LanguagesLinguistics
LiteraryStudies,868693,LiteraryStudies
AerospaceAeronautics,115520,AerospaceAeronautics
AutomobileDesignEngineering,645774,AutomobileDesignEngineering
BiomedicalEngineering,555364,BiomedicalEngineering
ChemicalEngineering,325857,ChemicalEngineering
CivilEngineering,393997,CivilEngineering
ElectricalElectronicEngineering,621737,ElectricalElectronicEngineering
EnvironmentalEngineering,624978,EnvironmentalEngineering
GeologicalGeomaticsEngineering,598075,GeologicalGeomaticsEngineering
IndustrialEngineeringAutomation,618877,IndustrialEngineeringAutomation
MechanicalEngineeringTransports,762667,MechanicalEngineeringTransports
MiningMetallurgy,639031,MiningMetallurgy
OperationsResearch,466643,OperationsResearch
Anthropology,567695,Anthropology
Archaeology,296945,Archaeology
Classics,305203,Classics
History,624412,History
HistoryofScienceTechnologyMedicine,293207,HistoryofScienceTechnologyMedicine
HistoryofSocialSciences,154710,HistoryofSocialSciences
AppliedMathematics,156079,AppliedMathematics
GeneralMathematics,553197,GeneralMathematics
NumericalComputationalMathematics,243467,NumericalComputationalMathematics
StatisticsProbability,251502,StatisticsProbability
Criminology,996969,Criminology
CulturalStudies,126794,CulturalStudies
Demography,800024,Demography
Education,320296,Education
FamilyStudies,679416,FamilyStudies
GenderStudies,332224,GenderStudies
Geography,314239,Geography
InformationLibrarySciences,549406,InformationLibrarySciences
InternationalRelations,859404,InternationalRelations
Law,631281,Law
PoliticalSciencePublicAdministration,837283,PoliticalSciencePublicAdministration
ScienceStudies,827659,ScienceStudies
SocialSciencesMethods,303001,SocialSciencesMethods
SocialWork,208058,SocialWork
Sociology,854377,Sociology
Allergy,zj1234,Allergy
AnalyticalChemistry,zj5678,AnalyticalChemistry
AnatomyMorphology,zj9101,AnatomyMorphology
Anesthesiology,zj2345,Anesthesiology
ArthritisRheumatology,zj6789,ArthritisRheumatology
ArtificialIntelligenceImageProcessing,zj0123,ArtificialIntelligenceImageProcessing
ArtPracticeHistoryTheory,zj4567,ArtPracticeHistoryTheory
Architecture,zj8901,Architecture
BehavioralScienceComparativePsychology,zj3456,BehavioralScienceComparativePsychology
BiochemistryMolecularBiology,zj7890,BiochemistryMolecularBiology
Biophysics,zj1235,Biophysics
BuildingConstruction,zj6780,BuildingConstruction
CardiovascularSystemHematology,zj9102,CardiovascularSystemHematology
ClinicalPsychology,zj2346,ClinicalPsychology
ComplementaryAlternativeMedicine,zj7891,ComplementaryAlternativeMedicine
ComputationTheoryMathematics,zj0124,ComputationTheoryMathematics
ComputerHardwareArchitecture,zj4568,ComputerHardwareArchitecture
Dentistry,zj8902,Dentistry
DermatologyVenerealDiseases,zj3457,DermatologyVenerealDiseases
DesignPracticeManagement,zj7892,DesignPracticeManagement
DevelopmentalBiology,zj1236,DevelopmentalBiology
DevelopmentalChildPsychology,zj6781,DevelopmentalChildPsychology
DistributedComputing,zj9103,DistributedComputing
DramaTheater,zj2347,DramaTheater
EmergencyCriticalCareMedicine,zj7893,EmergencyCriticalCareMedicine
EndocrinologyMetabolism,zj0125,EndocrinologyMetabolism
EnvironmentalOccupationalHealth,zj4569,EnvironmentalOccupationalHealth
ExperimentalPsychology,zj8903,ExperimentalPsychology
Folklore,zj3458,Folklore
GastroenterologyHepatology,zj7894,GastroenterologyHepatology
GeneralChemistry,zj1237,GeneralChemistry
GeneralClinicalMedicine,zj6782,GeneralClinicalMedicine
GeneralInternalMedicine,zj9104,GeneralInternalMedicine
GeneralPsychologyCognitiveSciences,zj2348,GeneralPsychologyCognitiveSciences
GeneticsHereditary,zj7895,GeneticsHereditary
Geriatrics,zj0126,Geriatrics
HumanFactors,zj4570,HumanFactors
Immunology,zj8904,Immunology
InformationSystems,zj3459,InformationSystems
InorganicNuclearChemistry,zj7896,InorganicNuclearChemistry
LegalForensicMedicine,zj1238,LegalForensicMedicine
MedicalInformatics,zj6783,MedicalInformatics
MedicinalBiomolecularChemistry,zj9105,MedicinalBiomolecularChemistry
Microbiology,zj2349,Microbiology
Microscopy,zj7897,Microscopy
Music,zj0127,Music
MycologyParasitology,zj4571,MycologyParasitology
NetworkingTelecommunications,zj8905,NetworkingTelecommunications
NeurologyNeurosurgery,zj3460,NeurologyNeurosurgery
NuclearMedicineMedicalImaging,zj7898,NuclearMedicineMedicalImaging
NutritionDietetics,zj1239,NutritionDietetics
